WALIS RSL ID,Is this datapoint public?,Site,Subsite,Nation,Region,Main reference,Additional references,Latitude (decimal degrees),Longitude (decimal degrees),Horizontal Positioning Technique,Is this a marine/terrestrial limiting record?,Type of RSL Indicator,Indicator description,Upper limit of modern analog (m),Lower limit of modern analog (m),Quantification of indicative meaning,Sea level datum,Elevation measurement technique,Do you want to insert upper and lower elevation limits?,Upper elevation of indicator (m),Lower elevation of indicator (m),Upper/Lower elevation measurement error (1-sigma) (m),RSL indicator elevation (m),RSL indicator elevation error (m),Notes on elevation and indicative range,Reference Water Level (m),Indicative Range (m),Paleo Relative Sea Level (m),Paleo Relative Sea Level Uncertainty (m),Is data on vertical land movements (independent from the sea level record) available?,Tectonic category,Comments on tectonic category,Published VLM rate (m/ky),Published VLM rate uncertainty (m/ky),Interpreted VLM rate (m/ky),Interpreted VLM rate (m/ky) uncertainty,Comments on VLM rates,Age attribution,U-Series constraint,U-series age IDs,AAR constraint,Amino Acid Racemization age IDs,ESR constraint,Electro Spin Resonance age IDs,Luminescence constraint,Luminescence age IDs,Stratigraphic constraint,Stratigraphic context/age IDs,Other age constraint,Other age constraints IDs,Quality of RSL data,Quality of age information,Quality notes,Record created by,Record updated by,Last Update
103,1,"Gebbies Valley, Banks Peninsula","Unit H, Gebbies Valley Borehole (G2)",New Zealand (Aotearoa),Canterbury,"Shulmeister et al, 1999","Ryan et al., 2020",-43.7209,172.6055,Google Earth from publication map,Marine Limiting,The datapoint is a marine or terrestrial limiting indicator,"This informal stratigraphic unit was identified in a 75 m core. 
Dark olive grey silt with localised woody organics and infrequent marine/estuarine shell hash. A sample at -26.8 m AMSL is dominated by a single marine species, Melosira westii (90%). With underlying unit (G, a massive greyish olive silty sand), this unit is interpreted as part of a transgressive succession. 
The modern analog is the estuarine Lake Ellesmere, the water level of which is artificially maintained; however it is interpreted that the sediments were emplaced in a marine embayment and represent the maximum depth of the embayment.
",,,N/A,Mean Sea Level / General definition,Metered tape or rod,Yes,-24.67,-34.1,0.2,-29.38,4.71,"Lower/Upper elevation error assigned with entry into WALIS. 
Final RSL indicator elevation error generated by WALIS.",,,,,No,,,,,,,,"Luminescence
 Chronostratigraphy
 Other dating",,,,,,,Equal to,"SH99-001-001
 SH99-002-001",Equal to,"Unit H, Gebbies Valley Borehole (G2)",Equal to,Infinite Radiocarbon,4,4,"Original publication provides additional unit descriptions and thermoluminescence ages. Only the details of those directly associated with the units (H, J, K) used to constrain MIS 5 sea level have been entered into WALIS. Additional TL ages are reported for Unit M (Holocene), Unit L (MIS 2), Unit F (MIS 5d), Unit E (MIS 6), and Units C and B (MIS 7). An accepted radiocarbon age was produced from Unit 1 (7558 +/- 89 years BP), with all other radiocarbon ages (Units K, J, D, and C) determined to be minimum ages. To refine age estimations, palaeoenvironmental data was used in conjunction with TL ages to calibrate sedimentary units to the standardized oxygen isotope for the last 300 ka (Martinson et al., 1987). ",Deirdre Ryan,Deirdre Ryan,2020-04-21 05:07:09
104,1,"Gebbies Valley, Banks Peninsula","Unit J, Gebbies Valley Borehole (G2)",New Zealand (Aotearoa),Canterbury,"Shulmeister et al, 1999","Ryan et al., 2020",-43.7209,172.6055,Google Earth from publication map,Sea Level Indicator,Beach deposit or beachrock,"Gray to olive gray fine sand and silt with extensive shell hash. Some woody organics also present. Dominated by marine diatoms. Interpreted as a beach or storm deposit,  at or close to sea level (w/in 5 m), based upon foraminiferal (Ammonia beccari) and macrofossil (Austrovenus sp.) evidence . ",1.7,-1.71,IMCalc,Mean Sea Level / General definition,Metered tape or rod,Yes,-22.15,-22.74,0.2,-22.44,0.35,Lower/Upper elevation error of sediment package assigned with entry into WALIS. Final RSL indicator elevation error generated by WALIS.,0.0,3.41,-22.44,1.74,No,,,,,,,,"Luminescence
 Chronostratigraphy
 Other dating",,,,,,,Equal to,SH99-003-001,Equal to,"Unit J, Gebbies Valley Borehole (G2)",Equal to,Infinite Radiocarbon,4,4,"Original publication provides additional unit descriptions and thermoluminescence ages. Only the details of those directly associated with the units (H, J, K) used to constrain MIS 5 sea level have been entered into WALIS. Additional TL ages reported for Unit M (Holocene), Unit L (MIS 2), Unit F (MIS 5d), Unit E (MIS 6), and Units C and B (MIS 7). An accepted radiocarbon age was produced from Unit 1 (7558 +/- 89 years BP), with all other radiocarbon ages (Units K, J, D, and C) determined to be minimum ages. To refine age estimations, palaeoenvironmental data was used in conjunction with TL ages to calibrate sedimentary units to the standardized oxygen isotope for the last 300 ka (Martinson et al., 1987). ",Deirdre Ryan,Deirdre Ryan,2020-03-13 06:17:40
105,1,"Gebbies Valley, Banks Peninsula","Unit K, Gebbies Valley Borehole (G2)",New Zealand (Aotearoa),Canterbury,"Shulmeister et al, 1999","Ryan et al., 2020",-43.7209,172.6055,Google Earth from publication map,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,"Gray silty clay, locally extensively laminated. Fibrous and woody organics and tubular structures common in basal 3 m. Mottling present in top ~0.20 m. Diatoms indicate transition from marine embayment to lake or lagoon environment at -18.5 m AMSL. Phytoliths indicate probable interglacial conditions.",,,N/A,Mean Sea Level / General definition,Metered tape or rod,Yes,-14.12,-22.15,0.2,-18.13,4.01,Lower/Upper elevation error of sediment package assigned with entry into WALIS. Final RSL indicator elevation error generated by WALIS.,,,,,No,,,,,,,,"Luminescence
 Chronostratigraphy
 Other dating",,,,,,,Equal to,"SH99-004-001
 SH99-005-001",Equal to,"Unit K, Gebbies Valley Borehole (G2)",Equal to,Infinite Radiocarbon,4,4,"Original publication provides additional unit descriptions and thermoluminescence ages. Only the details of those directly associated with the units (H, J, K) used to constrain MIS 5 sea level have been entered into WALIS. Additional TL ages reported for Unit M (Holocene), Unit L (MIS 2), Unit F (MIS 5d), Unit E (MIS 6), and Units C and B (MIS 7). An accepted radiocarbon age was produced from Unit 1 (7558 +/- 89 years BP), with all other radiocarbon ages (Units K, J, D, and C) determined to be minimum ages. To refine age estimations, palaeoenvironmental data was used in conjunction with TL ages to calibrate sedimentary units to the standardized oxygen isotope for the last 300 ka (Martinson et al., 1987). ",Deirdre Ryan,Deirdre Ryan,2020-05-11 15:04:27
106,1,Haumuri Bluff,"Qt6, Amuri Bluff Terrace",New Zealand (Aotearoa),Canterbury,"Oakley et al, 2017","Oakley et al, 2018
 Ota et al., 1984
 Ota et al., 1996
 Ryan et al., 2020",-42.561756,173.50908,Handheld GPS,Sea Level Indicator,Marine Terrace,"The Amuri Bluff Terrace (Qt6) is capped by marine sediments and loess. Elevation of the terrace shoreline angle (inner edge) is from Oakley et al (2018); however without corresponding lat/long coordinates. This RSL indicator is assigned the elevation of the shoreline angle, but lat/long is derived from a sample (HB1) taken for geochronological analysis an unstated distance seaward of the terrace inner margin. The elevation recorded for the sample is within the range of uncertainty for the shoreline angle and therefore, this indicator is considered a direct indicator of sea level.
",2.82,-2.34,IMCalc,Mean Sea Level / General definition,Differential GPS,No,,,,40.7,5.0,"Elevation provided is for the inner edge of the terrace from (Oakley et al., 2018). The bedrock shoreline angle can be seen only in an inaccessible cliff face where it was estimated from photographs at ~38-44 m apsl. The inner edge elevation was also estimated from DGPS and LiDAR profile over the terrace surface with the thickness of sediment overlying the terrace estimated at 6 m from earlier estimates. The DPGS profile was fit by diffusion model and area-based cliff retreat method, which give inner edge elevations of 40.7 m and 40.5 m. Uncertainty in the inner edge elevation was estimated from uncertainty in DGPS points, scatter of DGPS points about the estimated wave-cut platform, and differences between DGPS and LiDAR or DEM elevations. (Lat/Long is of associated sample location provided in supplementary material table 1 of Oakley et al, 2017.)
",0.24,5.16,40.46,5.62,No,,,,,,,,Luminescence,,,,,,,Equal to,OA17-001-001,,,,,2,3,"Must be considered in conjunction with Oakley et al. 2018. Multiple terrace elevations are provided in Oakley et al., 2018, however no lat/long coordinates for elevations are provided in the latter. The terrace elevation (2018 publication) most likely located nearest to the sample site location (2017 publication) is used here. Therefore, there is no exact lat/long from which the elevation was derived and the age sample is located at an unknown distance from and seaward of the inner margin.",Deirdre Ryan,Deirdre Ryan,2020-11-16 11:18:08
107,1,Haumuri Bluff,"Qt4, Tarapuhi Terrace",New Zealand (Aotearoa),Canterbury,"Oakley et al, 2017","Oakley et al, 2018
 Ota et al., 1984
 Ota et al., 1996
 Ryan et al., 2020",-42.553569,173.505919,Handheld GPS,Marine Limiting,The datapoint is a marine or terrestrial limiting indicator,"The Tarapuhi Terrace (Qt4) is capped by marine sediments and loess. The terrace is preserved as a hilltop, with no terrace riser present. An isolated outcrop of bedrock standing above the strath surface was identified and interpreted as a former sea stack. The elevation of the bedrock strath at this point was taken as equivalent to an inner edge. However; lat/long coordinates were not provided for this measurement, only for sample locations an unknown distance seaward from the inner margin from which lat/long and elevation information is derived. Therefore this indicator is considered marine limiting. 

",,,N/A,Mean Sea Level / General definition,Differential GPS,No,,,,165.8,2.0,"Elevation and lat/long is that of the IRSL sample HB2 from this terrace, located an unknown distance seaward of the terrace shoreline angle. This information is provided in the supplementary Table 1. 

The terrace shoreline angle was measured to 173.1 +/- 2 m; however because the shoreline angle was covered by colluvium, the elevation of the strath was measured in a nearby cliff. 

",,,,,No,,,,,,,,"Amino Acid Racemization
 Luminescence",,,Equal to,OA17-001-001,,,Equal to,OA17-002-001,,,,,2,3,"Must be considered in conjunction with Oakley et al. 2018. Multiple terrace elevations are provided in Oakley et al., 2018, however no lat/long coordinates for elevations are provided in the latter. The terrace elevation (2018 publication) most likely located nearest to the sample site location (2017 publication) is used here. Therefore, there is no exact lat/long from which the elevation was derived and the age sample is located at an unknown distance from and seaward of the inner margin.",Deirdre Ryan,Deirdre Ryan,2020-06-01 22:15:59
108,1,Glenafric,"Qt4, Tiromoana Terrace",New Zealand (Aotearoa),Canterbury,"Oakley et al, 2017","Oakley et al, 2018
 Ryan et al., 2020",-43.099125,172.87634,Handheld GPS,Marine Limiting,The datapoint is a marine or terrestrial limiting indicator,"An extensive marine terrace tilted up to the northeast. The terrace surface rises from ~45 to 80 m elevation over a distance of ~6 km. The shore platform (bedrock strath) is overlain by marine sand and gravel, alluvium, and loess. One IRSL sample and multiple AAR samples were collected.
",,,N/A,Mean Sea Level / General definition,Differential GPS,No,,,,61.5,2.0,"Elevation and lat/long is that of the AAR sample GA5 from this terrace, located an unknown distance seaward of the terrace shoreline angle but in the same stratigraphic location as additional AAR and IRSL samples from this terrace. This information is provided in the supplementary Table 1. ",,,,,No,,,,,,,,"Amino Acid Racemization
 Luminescence",,,Equal to,"OA17-002-001
 OA17-003-001
 OA17-004-001",,,Equal to,"OA17-003-001
 OA17-004-001",,,,,2,3,"Must be considered in conjunction with Oakley et al. 2018. Multiple terrace elevations are provided in Oakley et al., 2018, however no lat/long coordinates for elevations are provided in the latter. The terrace elevation (2018 publication) most likely located nearest to the sample site location (2017 publication) is used here. Therefore, there is no exact lat/long from which the elevation was derived and the age sample is located at an unknown distance from and seaward of the inner margin.
The IRSL sample taken from within the marine sediment was rejected with the growth curve approaching saturation. An IRSL sample taken from overlying loess was used to help constrain the age of the terrace. ",Deirdre Ryan,Deirdre Ryan,2020-11-16 11:38:12
172,1,Motunau Beach,"Qt6, Motunau Terrace",New Zealand (Aotearoa),Canterbury,"Oakley et al, 2017","Oakley et al, 2018
 Ryan et al., 2020",-43.046008,173.03513,Handheld GPS,Marine Limiting,The datapoint is a marine or terrestrial limiting indicator,"An extensive marine terrace, up to 3.5 km wide, along one limb of the Montserrat anticline. The wave-cut platform is overlain by marine and terrestrial sediments. Multiple IRSL and AAR samples were collected. The results of IRSL and AAR samples collected from the outer margin suggest a younger, MIS 3 age, in comparison to the more landward samples and the authors interpret the geochronology as indicting partial reoccupation of the terrace by the MIS 3 sea. Only the more inland samples indicating age of initial terrace formation have been inserted into WALIS. These samples (one IRSL and two AAR) were taken from multiple locations along the terrace. Because the IRSL result is rejected by the authors and one AAR sample was taken from a slumped deposit, the RSL indicator is assigned the lat/long of the remaining AAR sample location.",,,N/A,Mean Sea Level / General definition,Not reported,No,,,,70.0,4.0,"The lat/long and elevation assigned within WALIS for the RSL is as provided for AAR sample, MB5 (OA17-005). 

Elevation based on non-differential DGPS and DEMs and may have uncertainties of several meters. Uncertainty assigned with entry into WALIS.",,,,,No,,,,,,,,"Amino Acid Racemization
 Luminescence",,,Equal to,"OA17-005-001
 OA17-006-001",,,Equal to,OA17-003-001,,,,,2,3,"Must be considered in conjunction with Oakley et al. 2018. Multiple terrace elevations are provided in Oakley et al., 2018, however no lat/long coordinates for elevations are provided in the latter. The terrace elevation (2018 publication) most likely located nearest to the sample site location (2017 publication) is used here. Therefore, there is no exact lat/long from which the elevation was derived and the age sample is located at an unknown distance from and seaward of the inner margin.
The IRSL sample is interpreted to overestimate the age of the terrace (influenced by disequilibrium of the uranium decay chain) and the results of AAR analysis are thought to more accurately reflect age. ",Deirdre Ryan,Deirdre Ryan,2020-06-01 22:19:27
42,1,Hicks Bay,Otamaroa Terrace,New Zealand (Aotearoa),Gisborne,Wilson et al 2007,"Iso et al 1982
 Yoshikawa et al, 1980
 Ryan et al., 2020",-37.59238,178.26899,National Map Grid Coordinates,Sea Level Indicator,Marine Terrace,"Marine terrace located on the uplifting Raukumara Peninsula, North Island. Position of the section and sample on the terrace is not provided (inner, middle, outer margin). 

From terrace surface: non-marine coverbed thickness is 2.17 m overlying 2.5 m beach sands upon basement/shore platform. Proximity of the sands to the shoreline angle is unstated and there is no direct evidence of a beach depositional environment; however, the well-sorted nature of the sand and rounded gravels support wave sorting during deposition and this is considered a direct sea-level indicator from a marine terrace.

No stratigraphic description for this site is provided in the GNS Online Data Repository. ",2.57,-2.14,IMCalc,Mean Sea Level / General definition,Differential GPS,Yes,132.45,129.95,1.25,131.2,1.76,"Elevations were calibrated to control points, inc benchmarks, trig stations, and local sea level, but this information is not provided. However, uncertainties are provided. 

Measurement uncertainty as reported in publication (1.25 m).

This field site is located on the uplifting Raukumara Peninsula. ",0.21,4.71,130.98,2.94,No,,,,,,,,Luminescence,,,,,,,Equal to,WI07-005-001,,,,,2,1,"Additonal stratigraphic descriptions are provided in the GNS Online Data Repository - only the five with age constraint are included in the database as they are the only sites for which height above present sea level could be determined due to Figure 2 in the publication. This particular site, Hicks Bay, is not included in the data repository.

Authors were unsatistfied with the OSL results. For technical details, reader is referred to Rieser 2005 and 2006, which are Technical Reports 05/11 and 06/11 (respectively) from the Victoria University of Wellington. ",Deirdre Ryan,Deirdre Ryan,2021-02-18 14:24:15
44,1,Te Araroa,Otamaroa Terrace,New Zealand (Aotearoa),Gisborne,Wilson et al 2007,"Iso et al 1982
 Yoshikawa et al, 1980
 Ryan et al., 2020",-37.59535,178.32138,National Map Grid Coordinates,Sea Level Indicator,Marine Terrace,"Terrace is located on the uplifting Raukumara Peninsula, North Island. Position of the section and sample on the terrace is not provided (inner, middle, outer margin). From surface: non-marine coverbed thickness is 2.35 m overlying 5.5 m marine (beach) sediments upon sharp, irregular, basal contact with basement/shore platform. Marine sediments are comprised of ~2.5 m medium orange-brown, well-sorted sand, with an irregular wavy basal contact to an underlying ~2 m rounded gravel (average size 40 mm diameter) with a sandy matrix. Basal contact is sharp and irregular. Proximity of the sands to the shoreline angle is unstated and there is no direct evidence of a beach depositional environment; however, the well-sorted nature of the sand and rounded gravels support wave sorting during deposition and this site is considered a direct sea-level indicator. 

The description provided here is as described for this site (stratigraphic column ID P33) as provided in the GNS Online Data Repository. This description differs from the stratigraphic drawing provided in Figure 2 of the original publication. ",2.57,-2.14,IMCalc,Mean Sea Level / General definition,Topographic map and digital elevation models,Yes,276.5,271.0,10.0,273.75,10.37,"Elevation of terrace estimated from topographic maps with contour interval of 20 m. Uncertainty assigned in publication as +/- 10 m.

This field site is located on the uplifting Raukumara Peninsula. ",0.21,4.71,273.53,10.63,No,,,,,,,,Luminescence,,,,,,,Equal to,WI07-006-001,,,,,2,1,"Additonal stratigraphic descriptions are provided in the GNS Online Data Repository - only the five with age constraint are included in the database as they are the only sites for which height above present sea level could be determined due to Figure 2 in the publication. 
Authors were unsatistfied with the OSL results. For technical details, reader is referred to Rieser 2005 and 2006, which are Technical Reports 05/11 and 06/11 (respectively) from the Victoria University of Wellington. ",Deirdre Ryan,Deirdre Ryan,2021-02-18 14:26:47
39,1,Mahia Peninsula,Mahia I Terrace,New Zealand (Aotearoa),Hawke's Bay,"Berryman, 1993","Berryman , 1992
 Ryan et al., 2020",-39.09985,177.95192,Google Earth from publication map,Sea Level Indicator,Marine Terrace,The terrace surface overlies a sequence of terrestrial and marine sediments upon a marine abrasion platform cut into the underlying beachrock. The thickness of terrace deposits ranges from ~4 m beneath lower terraces (Mahia I) to about 20 m beneath higher terraces (See Mahia III) near the shoreline angle. Limited exposure of complete terrace deposits has made mapping the uppermost level of marine deposists at the shoreline angle not possible. The altitude of the former shoreline position has been determined by subtracting a standard mean thickness for terrestrial deposits (determined from averaging measurements from several sites on each terrace - this thickness value is not provided by the author) from the terrace altitude at the inner margin of each terrace. ,2.95,-2.42,IMCalc,Mean Sea Level / General definition,Photogrammetric methods or aneroid altimeter,No,,,,92.0,10.0,"Terrace surface altitudes were measured using aneroid altimeter or photogrammetric methodsduring short traverses from fixed heights such as trigonometric stations or sea level. The author assigns an uncertainty in altitude of former shorelines at +/- 5-10 m. The greater error is used here.

Although multiple altitude measurements were taken of each terrace, the Mahia Peninsula is subject to significant deformation due to its position upon the Lachlan Anticline, with the Lachlan Fold to the east and the Mahia Syncline to the West. The terraces exhibit a strong downward tilt to the WNW (azimuth 290), normal to the NNE trend of the Lachlan anticline. Altitude measurements provided here from the Auroa Point Fold, parallel to the Lachlan anticline.",0.26,5.37,91.73,10.35,No,,,,,,,,Other dating,,,,,,,,,,,Equal to,"MIS 5 Terrace Correlation
 Rotoehu Tephra",1,1,"Specific site localites not provided and only 'representative' stratigraphic sections provided. Altitudes are not well constrained and have significant uncertainty. 
Age is constrained by terrace altitude and distribution, tephrochronology, and AAR analysis of wood from an estuarine deposit associated with the Mahia III terrace. The AAR work was completed as part of an unpublished PhD thesis and metadata is unavailable. The D/L value was calibrated to an age of 100 000 years (Pillans, 1990) AAR on wood samples is not a preferred application of this geochronological method.",Deirdre Ryan,Deirdre Ryan,2020-09-23 10:57:30
40,1,Mahia Peninsula,Mahia II Terrace,New Zealand (Aotearoa),Hawke's Bay,"Berryman, 1993","Berryman , 1992
 Ryan et al., 2020",-39.10771,177.94749,Google Earth from publication map,Sea Level Indicator,Marine Terrace,Terrace surface overlies a sequence of terrestrial and marine sediments overlying a marine abrasion platform cut into the underlying beachrock. The thickness of terrace deposits ranges from ~4 m beneath lower terraces (Mahia I) to about 20 m beneath higher terraces (Mahia III) near the shoreline angle. Limited exposure of complete terrace deposits has made mapping the uppermost level of marine deposists at the shoreline angle not possible. The altitude of the former shoreline position has been determined by subtracting a mean thickness for terrestrial deposits (determined from measurements at several sites on each terrace - this is not provided by the author) from the terrace altitude at the inner margin of each terrace. ,2.9,-2.35,IMCalc,Mean Sea Level / General definition,Photogrammetric methods or aneroid altimeter,No,,,,124.0,10.0,"Terrace surface altitudes were measured using aneroid altimeter or photogrammetric methodsduring short traverses from fixed heights such as trigonometric stations or sea level. The author assigns an uncertainty in altitude of former shorelines at +/- 5-10 m. The greater error is used here.

Although multiple altitude measurements were taken of each terrace, the Mahia Peninsula is subject to significant deformation due to its position upon the Lachlan Anticline, with the Lachlan Fold to the east and the Mahia Syncline to the West. The terraces exhibit a strong downward tilt to the WNW (azimuth 290˚),  normal to the NNE trend of the Lachlan anticline. Altitude measurements provided here from the Auroa Point Fold, parallel to the Lachlan anticline.",0.27,5.25,123.72,10.33,No,,,,,,,,Other dating,,,,,,,,,,,Equal to,"MIS 5 Terrace Correlation
 Rotoehu Tephra",1,1,"Specific site localites not provided and only 'representative' stratigraphic sections provided. Altitudes are not well constrained and have significant uncertainty. 

Age is constrained by terrace altitude and distribution, tephrochronology, and AAR analysis of wood from an estuarine deposit associated with the Mahia III terrace. The AAR work was completed as part of an unpublished PhD thesis and metadata is unavailable. The D/L value was calibrated to an age of 100 000 years (Pillans, 1990) AAR on wood samples is not a preferred application of this geochronological method.",Deirdre Ryan,Deirdre Ryan,2020-09-23 10:57:50
41,1,Mahia Peninsula,Mahia III Terrace,New Zealand (Aotearoa),Hawke's Bay,"Berryman, 1993","Berryman , 1992
 Ryan et al., 2020",-39.10926,177.94618,Google Earth from publication map,Sea Level Indicator,Marine Terrace,Terrace surface overlies a sequence of terrestrial and marine sediments overlying a marine abrasion platform cut into the underlying beachrock. The thickness of terrace deposits ranges from ~4 m beneath lower terraces (Mahia I) to about 20 m beneath higher terraces (Mahia III) near the shoreline angle. Limited exposure of complete terrace deposits has made mapping the uppermost level of marine deposists at the shoreline angle not possible. The altitude of the former shoreline position has been determined by subtracting a mean thickness for terrestrial deposits (determined from measurements at several sites on each terrace - this is not provided by the author) from the terrace altitude at the inner margin of each terrace. ,2.9,-2.35,IMCalc,Mean Sea Level / General definition,Photogrammetric methods or aneroid altimeter,No,,,,147.0,10.0,"Terrace surface altitudes were measured using aneroid altimeter or photogrammetric methodsduring short traverses from fixed heights such as trigonometric stations or sea level. The author assigns an uncertainty in altitude of former shorelines at +/- 5-10 m. The greater error is used here.

Although multiple altitude measurements were taken of each terrace, the Mahia Peninsula is subject to significant deformation due to its position upon the Lachlan Anticline, with the Lachlan Fold to the east and the Mahia Syncline to the West. The terraces exhibit a strong downward tilt to the WNW (azimuth 290˚),  normal to the NNE trend of the Lachlan anticline. Altitude measurements provided here from the Auroa Point Fold, parallel to the Lachlan anticline.",0.27,5.25,146.72,10.33,No,,,,,,,,Other dating,,,,,,,,,,,Equal to,"MIS 5 Terrace Correlation
 Rotoehu Tephra",1,1,"Specific site localites not provided and only 'representative' stratigraphic sections provided. Altitudes are not well constrained and have significant uncertainty. 
Age is constrained by terrace altitude and distribution, tephrochronology, and AAR analysis of wood from an estuarine deposit associated with the Mahia III terrace. The AAR work was completed as part of an unpublished PhD thesis and metadata is unavailable. The D/L value was calibrated to an age of 100 000 years (Pillans, 1990) AAR on wood samples is not a preferred application of this geochronological method.",Deirdre Ryan,Deirdre Ryan,2020-09-23 10:58:07
38,1,Rapanui Terrace,"Type Section, Castlecliff Beach",New Zealand (Aotearoa),Manawatu-Wanganui,"Bussell, 1992","Fleming, 1953
 Pillans, 1983
 Pillans, 1990
 Ryan et al., 2020",-39.90947,174.94443,Google Earth from publication map,Marine Limiting,The datapoint is a marine or terrestrial limiting indicator,"A wave cut platform exposed in cliff section with 13 m of coverbeds including ~5.5 m thick marine Rapanui Formation. The marine sediments are black, lamininated, well sorted sand with cross bedding and leached shell in places; however, depositional environment is not interpreted. The section is an unkown distance seaward of the terrace inner margin and the shore platform elevation is used as a marine limiting indicator.

The marine succession is overlain by succession of 0.5 m sands of probable terrestrial origin including a thin lignaceous layer correlated by pollen analysis to the MIS 5e/5d transition, a 1.2 m thick Rapanui Lignite correlated by pollen analysis to MIS 5d, and 6 m of Rapanui Dune Sand correlated to MIS 5c. ",,,N/A,Mean Sea Level / General definition,Metered tape or rod,No,,,,29.0,0.3,"Elevation is of the shore platform underlying the marine sediments. The error is assigned 10% of the elevation with entry into WALIS.
Location of elevation measurement on shore platform (e.g. distance from inner margin/paleo shoreline position) is not stated. ",,,,,No,,,,,,,,"Amino Acid Racemization
 Chronostratigraphy",,,Equal to,"PI83-001-001
 PI83-002-001
 PI83-003-001
 PI83-004-001
 PI83-010-001
 PI83-011-001
 PI83-012-001
 PI83-013-001
 PI83-014-001
 PI83-015-001
 PI83-016-001
 PI83-017-001",,,,,Equal to,"Rapanui Marine Terrace
 Whanganui Sequence",,,3,1,"The exact location of the section is uncertain as conversion of the map coordinates given in the publication were significant distance from indicated site location in Figure 1. The marine sediments overlying the shore platform are minimally described as the focus of this paper is palynology. The age of the sequence, spanning MIS 5 sensu lato (5e, 5d and 5c), is based upon work by Pillans (1983, 1990) on the Rapanui Marine Terrace elsewhere. ",Deirdre Ryan,Deirdre Ryan,2020-06-19 21:48:34
86,1,Main Terrace,"Long Point to Boo Boo Stream, Location 1",New Zealand (Aotearoa),Marlborough,"Ota et al., 1996","Ryan et al., 2020",-41.78467,174.22583,Google Earth from publication map,Sea Level Indicator,Beach deposit or beachrock,"A downward succession (from 54 m asl) of: brown coarse sand; well-sorted, rounded and stratified beach pebbles; coarse sand/basal gravels over an abrasion platform (49 m asl) formed on Tertiary siltsone. This succession is immediately overlain by nearly 2 m of silt, possibly lagoon in origin, in turn overalin by loess in which the modern topsoil has developed. The height of the inner margin of the main terrace surface ranges from 55 to 80 m asl, with higher elevations at either end of areas at Long Point and Boo Boo Stream.
As the prinicipal marine terrace above the Holocene terrace, the terrace is considered to represent the major sea-level rise of the last interglacial.",1.56,-2.11,IMCalc,Mean Sea Level / General definition,Photogrammetric methods or aneroid altimeter,Yes,54.0,49.0,2.0,51.5,3.2,Heights were measured by digital altimeter and corrected to sea level or trig station about every 2 hours. The accuracy of measurement is considered to be within +/- 2 m. ,-0.27,3.67,51.77,3.69,,,,,,,,,Other dating,,,,,,,,,,,Equal to,MIS 5 Terrace Correlation,3,1,"Description is good and measurement is adequate if not highly accurate. 
Age is determined from the terrace location landward of the Holocene terrace",Deirdre Ryan,Deirdre Ryan,2020-02-03 08:21:55
87,1,Main Terrace,"Long Point to Boo Boo Stream, Location 2",New Zealand (Aotearoa),Marlborough,"Ota et al., 1996","Ryan et al., 2020",-41.793183,174.216052,Google Earth from publication map,Sea Level Indicator,Beach deposit or beachrock,"Well-sorted, rounded and stratified beach pebbles  (45 - 40 m asl) overlying abrasion platform. An erosional depresion has been infilled by angular limestone gravel. Both are immediately overlain by a white silt and then two loess deposits with soils. The height of the inner margin of the main terrace surface ranges from 55 to 80 m asl, with higher elevations at either end of areas at Long Point and Boo Boo Stream.

As the prinicipal marine terrace above the Holocene terrace, the terrace is considered to represent the major sea-level rise of the last interglacial.",1.58,-2.13,IMCalc,Mean Sea Level / General definition,Photogrammetric methods or aneroid altimeter,Yes,45.0,40.0,2.0,42.5,3.2,Heights were measured by digital altimeter and corrected to sea level or trig station about every 2 hours. The accuracy of measurement is considered to be within +/- 2 m. ,-0.27,3.71,42.77,3.69,No,,,,,,,,Other dating,,,,,,,,,,,Equal to,MIS 5 Terrace Correlation,3,1,"Description is good and measurement is adequate if not highly accurate. 
Age is determined from the terrace location landward of the Holocene terrace",Deirdre Ryan,Deirdre Ryan,2020-02-03 08:21:43
88,1,Main Terrace,"Long Point to Boo Boo Stream, Location 3",New Zealand (Aotearoa),Marlborough,"Ota et al., 1996","Ryan et al., 2020",-41.803247,174.21173,Google Earth from publication map,Sea Level Indicator,Beach deposit or beachrock,"Considered a representative section for the main terrace; 3 m of well-sorted and rounded beach gravels (47 to 44 m) on an abrasion platform overlain by 11 m of non-marine cover beds: at least 4 loess units with 3 palaeosols present. The height of the inner margin of the main terrace surface ranges from 55 to 80 m asl, with higher elevations at either end of areas at Long Point and Boo Boo Stream.

As the prinicipal marine terrace above the Holocene terrace, the terrace is considered to represent the major sea-level rise of the last interglacial.",1.58,-2.13,IMCalc,Mean Sea Level / General definition,Photogrammetric methods or aneroid altimeter,Yes,47.0,44.0,2.0,45.5,2.5,Heights were measured by digital altimeter and corrected to sea level or trig station about every 2 hours. The accuracy of measurement is considered to be within +/- 2 m. ,-0.27,3.71,45.77,3.11,No,,,,,,,,Other dating,,,,,,,,,,,Equal to,MIS 5 Terrace Correlation,3,1,"Description is good and measurement is adequate if not highly accurate. 
Age is determined from the terrace location landward of the Holocene terrace",Deirdre Ryan,Deirdre Ryan,2020-02-03 08:22:39
