WALIS Strat ID,Is this datapoint public?,Chronostratigraphy ID,Reference(s),Description for chronostratigraphic constraint,Unit thickness (m),Age is Older/Equal/Younger than,Marine Isotopic Stage,Comments/details on MIS designation,Upper Age (ka),Lower Age (ka),Notes on age determination,Is this an official stratigraphic designation?,Has duration estimated in years?,Duration (yrs),Duration uncertainty (yrs),Is a subzone of a parent Chronostratigraphy entry?,Parent record (WALIS Strat ID),Record created by,Record updated by,Last Update
28,1,North Sea 'Zagwijn' Eemian PAZ E3a 225 yrs,"Behre, 1962
 Funder et al., 2002
 Jessen & Milthers, 1928
 Konradi et al., 2005
 Litt, 1990
 Mamakowa, 1976
 Menke & Tynni, 1984
 Muller, 1974
 Selle, 1962
 Turner, 2002b
 Zagwijn, 1961
 Zagwijn, 1996","Pollen Association zone E3a cf. Zagwijn 1961-1996
E3a Quercus acme zone.

This is the (lower part of) Zone IIIa cf. Selle 1962 (op. cit. Konradi et al. 2005:section 8) 
This is the lower half of Zone III cf. Behre 1962
This is the upper half of Zone IIb cf. Muller 1974.
This is the upper half of Zone III cf Menke & Tynni 1984.
This is the upper part of zone 'e' of Jessen & Milthers (1928), op. cit. Funder et al. (2002:Table 2)",0.2-0.5,Equal to,MIS 5e,MIS 5e,128.5,124.5,"Duration of PAZ E3a (Zagwijn 1996: Fig. 2): c. 225 yrs in NW Germany counted from varved lakes (sites near Luneburg, Muller 1974) in the vicinity of last residual Scandinavian ice masses (continental climate). Apparently similar durations in West-central (Sirocko et al. 2005: Eifel ELSA) and in East-central Germany (Litt, 1990: Groebern, north of Leipzig). 



See the general entry "" North Sea 'Zagwijn' Eemian pollen zones E1-E6 "" for a longer note on absolute age and total duration of the Eemian and its relation with phases within MIS5e and 5d.",Yes,Yes,225,25,Yes,30,Kim Cohen,Kim Cohen,2022-04-21 13:44:18
29,1,North Sea 'Zagwijn' Eemian PAZ E3b 450 yrs,"Behre, 1962
 Benda & Schneekloth, 1965
 Funder et al., 2002
 Jessen & Milthers, 1928
 Konradi et al., 2005
 Litt, 1990
 Mamakowa, 1976
 Menke & Tynni, 1984
 Muller, 1974
 Selle, 1962
 Turner, 2002b
 Zagwijn, 1961
 Zagwijn, 1996","Pollen Association zone E3b cf. Zagwijn 1961-1996
E3b Quercus-Corylus acme zone.

This is Zone IIIa+b cf. Selle 1962 (op. cit. Konradi et al. 2005:section 8)
This is Zone IIIa cf. Muller 1974. 
This is the lower one-third of Zone IVa cf Menke & Tynni 1984
This is the lower part of zone 'fa' of Jessen & Milthers 1928 (op. cit. Benda & Schneeklott 1965:Table 2; Funder et al. 2002:Table 2).
This is approximately equivalent to the lower part of Eem zone 4 cf. Andersen 1965 (op. cit. Konradi et al., 2005: section 5.2.3)
",0.2-0.5,Equal to,MIS 5e,MIS 5e,128.5,124.5,"Duration of PAZ E3b (Zagwijn 1996: Fig. 2): 450 yrs in NW Germany counted from varved lakes (sites near Luneburg, Muller 1974) in the vicinity of last residual Scandinavian ice masses (continental climate). Apparently similar durations in West-central (Sirocko et al. 2005: Eifel ELSA) and in East-central Germany (Litt, 1990: Groebern, north of Leipzig). 

See the general entry "" North Sea 'Zagwijn' Eemian pollen zones E1-E6 "" for a longer note on absolute age and total duration of the Eemian and its relation with phases within MIS5e and 5d.",Yes,Yes,450,35,Yes,30,Kim Cohen,Kim Cohen,2022-04-21 13:44:46
33,1,North Sea 'Zagwijn' Eemian PAZ E4 1800 yrs,"Behre, 1962
 Funder et al., 2002
 Jessen & Milthers, 1928
 Litt, 1990
 Mamakowa, 1976
 Menke & Tynni, 1984
 Muller, 1974
 Selle, 1962
 Turner, 2002b
 Zagwijn, 1961
 Zagwijn, 1996","Pollen Association zone E4 cf. Zagwijn 1961-1996.
E4a Corylus acme zone c. 700 yrs
E4b Taxus(/Tilia) acme zone c. 1000-1200 yrs

This is Zone IIIb + IIIc cf. Selle 1962, Muller 1974. 
This is the upper two thirds of Zone IVa  + Zone  IVb cf. Behre 1962, Menke & Tynni 1984. 
This is the upper part of zone 'fa' + the full zone 'fb' of Jessen & Milthers (1928), op. cit. Funder et al. (2002:Table 2)",1-8,Equal to,MIS 5e,MIS 5e,127.0,122.5,"Duration of PAZ E4 (E4a + E4b)  (Zagwijn 1996: Fig. 2): c. 1700-1900 yrs in NW Germany counted from varved lakes (sites near Luneburg, Muller 1974). Apparently similar durations in West-central (Sirocko et al. 2005: Eifel ELSA) and in East-central Germany (Litt, 1990: Groebern, north of Leipzig). 



See the general entry "" North Sea 'Zagwijn' Eemian pollen zones E1-E6 "" for a longer note on absolute age and total duration of the Eemian and its relation with phases within MIS5e and 5d.",Yes,Yes,1800,110,Yes,23,Kim Cohen,Kim Cohen,2022-04-21 13:46:56
31,1,North Sea 'Zagwijn' Eemian PAZ E4a 700 yrs,"Behre, 1962
 Funder et al., 2002
 Jessen & Milthers, 1928
 Konradi et al., 2005
 Litt, 1990
 Mamakowa, 1976
 Menke & Tynni, 1984
 Muller, 1974
 Selle, 1962
 Turner, 2002b
 Zagwijn, 1961
 Zagwijn, 1996","Pollen Association zone E4a cf. Zagwijn 1961-1996
E4a Corylus acme zone c. 700 yrs

This is approximately equivalent to zone IIIc of Selle (1962) op cit. Konradi et al.  (2005: section 5.2.3)
This is Zone IVb cf. Behre 1962
This is Zone IIIb cf. Muller 1974. 
This is the upper two thirds of Zone IVa cf Menke & Tynni 1984. 
This is approximately equivalent to the upper part of zone 4 cf. Andersen (1965) op cit. Konradi et al. (2005: section 5.2.3)
This is the upper part of zone 'fa' of Jessen & Milthers (1928), op. cit. Funder et al. (2002:Table 2)",0.2-0.5,Equal to,MIS 5e,MIS 5e,127.0,123.5,"Duration of PAZ E4a (Zagwijn 1996: Fig. 2): 700 yrs in NW Germany counted from varved lakes (sites near Luneburg, Muller 1974). Apparently similar durations in West-central (Sirocko et al. 2005: Eifel ELSA) and in East-central Germany (Litt, 1990: Groebern, north of Leipzig). 

See the general entry "" North Sea 'Zagwijn' Eemian pollen zones E1-E6 "" for a longer note on absolute age and total duration of the Eemian and its relation with phases within MIS5e and 5d.",Yes,Yes,700,50,Yes,33,Kim Cohen,Kim Cohen,2022-04-21 13:45:52
32,1,North Sea 'Zagwijn' Eemian PAZ E4b 1100 yrs,"Behre, 1962
 Funder et al., 2002
 Jessen & Milthers, 1928
 Litt, 1990
 Mamakowa, 1976
 Menke & Tynni, 1984
 Muller, 1974
 Selle, 1962
 Turner, 2002b
 Zagwijn, 1961
 Zagwijn, 1996","Pollen Association zone E4b cf. Zagwijn 1961-1996
E4b Taxus acme zone c. 1000-1200 yrs  
in NW Germany/Denmark: Tilia (+Taxus) acme zone 

This is Zone IIIc cf. Selle, 1962; Muller 1974. 
This is Zone IVb cf. Behre, 1962; Menke & Tynni 1984. 
This is zone 'fb' of Jessen & Milthers (1928), op. cit. Funder et al. (2002:Table 2)",0.2-0.5,Equal to,MIS 5e,MIS 5e,126.5,122.5,"Duration of PAZ E4b (Zagwijn 1996: Fig. 2): 1000-1200 yrs in NW Germany counted from varved lakes (sites near Luneburg, Muller 1974). Apparently similar durations in West-central (Sirocko et al. 2005: Eifel ELSA) and in East-central Germany (Litt, 1990: Groebern, north of Leipzig). 
See the general entry "" North Sea 'Zagwijn' Eemian pollen zones E1-E6 "" for a longer note on absolute age and total duration of the Eemian and its relation with phases within MIS5e and 5d.",Yes,Yes,1100,100,Yes,33,Kim Cohen,Kim Cohen,2022-04-21 13:46:28
34,1,North Sea 'Zagwijn' Eemian PAZ E5 4000 yrs,"Behre, 1962
 Funder et al., 2002
 Jessen & Milthers, 1928
 Litt, 1990
 Mamakowa, 1976
 Menke & Tynni, 1984
 Muller, 1974
 Selle, 1962
 Turner, 2002b
 Zagwijn, 1961
 Zagwijn, 1996","Pollen Association zone E5 cf. Zagwijn 1961-1996.

E5 Carpinus acme zone c. 4000 yrs
E5a Carpinus acme zone (Zagwijn 1983)
E5b Pinus-Carpinus acme zone (Zagwijn 1983)

This is Zone IV cf. Selle 1962, Muller 1974. 
This is Zone V cf. Behre 1962, Menke & Tynni 1984. 
This is zone 'g' of Jessen & Milthers (1928), op. cit. Funder et al. (2002:Table 2)",1-10m,Equal to,MIS 5e,MIS 5e,124.0,117.0,"Duration of PAZ E5  (Zagwijn 1996: Fig. 2): c. 4000 yrs in NW Germany counted from varved lakes (sites near Luneburg, Muller 1974). Apparently similar durations in West-central (Sirocko et al. 2005: Eifel ELSA) and in East-central Germany (Litt, 1990: Groebern, north of Leipzig). 



See the general entry "" North Sea 'Zagwijn' Eemian pollen zones E1-E6 "" for a longer note on absolute age and total duration of the Eemian and its relation with phases within MIS5e and 5d.",Yes,Yes,4000,250,Yes,23,Kim Cohen,Kim Cohen,2022-04-16 11:21:54
38,1,North Sea 'Zagwijn' Eemian PAZ E5/6 break,"Behre, 1962
 Funder et al., 2002
 Jessen & Milthers, 1928
 Litt, 1990
 Mamakowa, 1976
 Menke & Tynni, 1984
 Muller, 1974
 Selle, 1962
 Turner, 2002b
 Zagwijn, 1961
 Zagwijn, 1996","Break between PAZ E5b and PAZ E6a
Pollen Association Zone E5(b) cf. Zagwijn 1961-1996.
Pollen Association Zone E6a cf. Zagwijn 1961-1996.

Duration arbitrary set to 600+/-200  years: the last 300+/-150 years of PAZ E5 and the first 300+/-150 years of E6a (pseudo)varved trajectories. 
E5b = Pinus-Carpinus acme zone (Zagwijn 1983; about 1000-2000 years before the E5/E6 break)
E6a = Picea acme zone (and lasts c. 2000 years beyond the E5/6 break) 

This is the break between Zone IV and Zone V cf. Selle 1962, Muller 1974. 
This is the break between Zone V and Zone VI cf. Behre 1962, Menke & Tynni 1984. 
This is the break between zone 'g' and zone 'h' of Jessen & Milthers (1928), op. cit. Funder et al. (2002:Table 2)",1-2m,Equal to,"MIS 5e, MIS 5d","MIS 5e, MIS 5d",120.0,116.0,"The PAZ E5/E6 break is approximately synchronous to the MIS5e, MIS 5d break (could be up to a few 1000 years before and after). See Sirocko et al. (2005); Sier et al. (2015).

See the general entry "" North Sea 'Zagwijn' Eemian pollen zones E1-E6 "" for a longer note on absolute age and total duration of the Eemian and its relation with phases within MIS5e and 5d.  ",Yes,Yes,600,200,Yes,23,Kim Cohen,Kim Cohen,2022-04-16 11:24:32
35,1,North Sea 'Zagwijn' Eemian PAZ E6 4000 yrs,"Behre, 1962
 Funder et al., 2002
 Jessen & Milthers, 1928
 Litt, 1990
 Mamakowa, 1976
 Menke & Tynni, 1984
 Muller, 1974
 Selle, 1962
 Turner, 2002b
 Zagwijn, 1961
 Zagwijn, 1996","Pollen Association zone E6 cf. Zagwijn 1961-1996.
E6a Picea acme zone c. 2000 yrs
E6b Pinus acme zone c. 2000 yrs

This is Zone V + Zone VI cf. Selle 1962; Muller 1974. 
This is Zone VI + Zone VII cf. Behre 1962, Menke & Tynni 1984. 
This is zone 'h'+ zone 'i' of Jessen & Milthers (1928), op. cit. Funder et al. (2002:Table 2)",1-3m,Equal to,"MIS 5e, MIS 5d","MIS 5e, MIS 5d",120.0,112.5,"Duration of PAZ E6  (Zagwijn 1996: Fig. 2): c. 4000 yrs in NW Germany counted from varved lakes (sites near Luneburg, Muller 1974). Apparently similar durations in West-central (Sirocko et al. 2005: Eifel ELSA) and in East-central Germany (Litt, 1990: Groebern, north of Leipzig). 

See the general entry "" North Sea 'Zagwijn' Eemian pollen zones E1-E6 "" for a longer note on absolute age and total duration of the Eemian and its relation with phases within MIS5e and 5d.",Yes,Yes,4000,250,Yes,23,Kim Cohen,Kim Cohen,2022-04-22 09:16:10
36,1,North Sea 'Zagwijn' Eemian PAZ E6a 2000 yrs,"Behre, 1962
 Funder et al., 2002
 Jessen & Milthers, 1928
 Litt, 1990
 Mamakowa, 1976
 Menke & Tynni, 1984
 Muller, 1974
 Selle, 1962
 Turner, 2002b
 Zagwijn, 1961
 Zagwijn, 1996","Pollen Association zone E6a cf. Zagwijn 1961-1996.
E6a Picea acme zone c. 2000 yrs

This is Zone V cf. Selle 1962, Muller 1974. 
This is Zone VI cf. Behre 1962, Menke & Tynni 1984. 
This is zone 'h' of Jessen & Milthers (1928), op. cit. Funder et al. (2002:Table 2)",1-2m,Equal to,"MIS 5e, MIS 5d","MIS 5e, MIS 5d",120.0,115.0,"Duration of PAZ E6a (Zagwijn 1996: Fig. 2): c. 2000 yrs in NW Germany counted from varved lakes (sites near Luneburg, Muller 1974). Apparently similar durations in West-central (Sirocko et al. 2005: Eifel ELSA) and in East-central Germany (Litt, 1990: Groebern, north of Leipzig). 



See the general entry "" North Sea 'Zagwijn' Eemian pollen zones E1-E6 "" for a longer note on absolute age and total duration of the Eemian and its relation with phases within MIS5e and 5d.",Yes,Yes,2000,180,Yes,35,Kim Cohen,Kim Cohen,2022-04-16 11:23:43
37,1,North Sea 'Zagwijn' Eemian PAZ E6b 2000 yrs,"Behre, 1962
 Funder et al., 2002
 Jessen & Milthers, 1928
 Litt, 1990
 Mamakowa, 1976
 Menke & Tynni, 1984
 Muller, 1974
 Selle, 1962
 Turner, 2002b
 Zagwijn, 1961
 Zagwijn, 1996","Pollen Association zone E6b cf. Zagwijn, 1961-1996.
E6b Pinus acme zone c. 2000 yrs

This is Zone VI cf. Selle 1962, Muller 1974. 
This is Zone VII cf. Behre 1962, Menke & Tynni 1984. 
This is zone 'i' of Jessen & Milthers (1928), op. cit. Funder et al. (2002:Table 2)",1-2m,Equal to,MIS 5d,MIS 5d,118.0,112.5,"Duration of PAZ E6b  (Zagwijn 1996: Fig. 2): c. 2000 yrs in NW Germany counted from varved lakes (sites near Luneburg, Muller 1974). Apparently similar durations in West-central (Sirocko et al. 2005: Eifel ELSA) and in East-central Germany (Litt, 1990: Groebern, north of Leipzig). 

See the general entry "" North Sea 'Zagwijn' Eemian pollen zones E1-E6 "" for a longer note on absolute age and total duration of the Eemian and its relation with phases within MIS5e and 5d.",Yes,Yes,2000,180,Yes,35,Kim Cohen,Kim Cohen,2022-04-21 13:48:51
47,1,North Sea 'Zagwijn' Eemian PAZ E6b/EW1a break,"Behre, 1962
 Jessen & Milthers, 1928
 Litt, 1990
 Mamakowa, 1976
 Menke & Tynni, 1984
 Muller, 1974
 Selle, 1962
 Sirocko et al., 2005
 Turner, 2002b
 Zagwijn, 1961
 Zagwijn, 1996","Break between PAZ E6b and PAZ EWIa

Pollen Association Zone E6b cf. Zagwijn 1961-1996.
Pollen Association Zone EWIa cf. Zagwijn 1961-1996.

Duration arbitrary set to 600+/-200  years: the last 300+/-150 years of PAZ E6b and first 300+/-150 years of EWIa (pseudo)varved trajectories (notably in the ELSA record, Sirocko et al. 2005). 

This is the top/end of Zone VI cf. Selle 1962, Muller 1974. 
This is the top/end of Zone VII cf. Behre 1962, Menke & Tynni 1984. 
This is the break between zones 'i' and 'k' of Jessen & Milthers 1928.",1-2m,Equal to,MIS 5d,MIS 5d,115.0,112.5,"The PAZ E6b/EWIa break is some 4000+/-1000 years later than the MIS5e, MIS 5d break. See the entry on the PAZ E5/E6 break. See Sirocko et al. (2005); Sier et al. (2015).



See the general entry "" North Sea 'Zagwijn' Eemian pollen zones E1-E6 "" for a longer note on absolute age and total duration of the Eemian and its relation with phases within MIS5e and 5d.  ",Yes,Yes,600,200,Yes,23,Kim Cohen,Kim Cohen,2022-04-21 13:49:28
23,1,North Sea 'Zagwijn' Eemian Pollenzones E1-E6,"Beets & Beets, 2003
 Beets et al., 2006
 Behre, 1962
 Benda & Schneekloth, 1965
 Funder et al., 2002
 Gruger, 1989
 Hahne et al., 1994
 Hoefle et al., 1985
 Jessen & Milthers, 1928
 Kasse et al., 2022
 Konradi et al., 2005
 Kukla et al., 2002
 Lambeck et al., 2006
 Long et al., 2015
 Menke & Tynni, 1984
 Muller, 1974
 Peeters et al., 2019
 Sanchez-Goni et al., 1999
 Seidenkranz, 1993
 Shackleton et al. 2003
 Shackleton et al., 2002
 Sier et al., 2015
 Streif, 2004
 Turner, 2002a
 Turner, 2002b
 Tzedakis et al., 2018
 Zagwijn, 1961
 Zagwijn, 1983
 Zagwijn, 1996","Note: This entry describes the entire Eemian interglacial, spanning six main pollen zones in the Zagwijn (1983, 1996) floating chronostratigraphic scheme. This main scheme covers a full interglacial forest succession, from onset (E1-E3) to climax (E4-E5) to decline (E6). Further entries are created for individual zones and subzones compliant to the absolute age-considerations documented here in this main entry, and repeated in the dataset description paper (Cohen et al. 2022). The entries are successively updated to include the correlated schemes of Zagwijn 1961 (Netherlands); Behre 1962, Selle 1962, Muller 1974 and Menke & Tynne 1984 (NW Germany), Jessen & Millers 1928 (Denmark and NW Germany) - discussions in Benda & Schneekloth, 1965; Gruger, 1989; Zagwijn, 1969; Funder et al., 2002. 

Succession of vegetation (arboreal pollen mostly), interglacial half cycle - recorded in lake fills and peats of various type (paraglacial negative relief, lagoonal inland rim, river channel fill). Several Zagwijn Netherlands' references (1961; 1983; 1996) and parallel palynological investigations in Western Germany (Behre 1962, Selle 1962, Muller 1974; Menke & Tynni 1984 - see Zagwijn 1996), building on pioneering work in Denmark (Jessen & Milthers 1928; Andersen 1965). Multiple later references regarding absolute timing and degree of diachronicity and (non-)analogy in regional succession and paleoclimatic zonal developments with the Lateglacial-Holocene half cycle, notably: Van Leeuwen et al., 2000; Cleveringa et al., 2000; Turner, 2002; Kukla et al. 2002; Beets & Beets, 2003; Beets et al. 2006; Lambeck et al., 2006; Sier et al., 2015; Long et al., 2015. These papers also discuss how the regional scheme could tie in global chronological schemes, most importantly the correlation to records from the Iberian shelf (Sanchez-Goni et al., 1999; Shackleton et al. 2002, 2003); the Greenland Ice core oxygen isotopes and dust records (Sirocko et al. 2005; NEEM community members 2013). With new data and revised dating insights for these sites, triggered from U/Th dated signals in Italian speleothem record (Tzedakis et al. 2018), positions taken in past papers were reevaluated as part of the data entry here (2021-2022). The entries are optimised for use in and along the Southern North Sea, e.g. the Amersfoort sites of Zagwijn, 1983; Kasse et al., 2022.. 

Thickness of the Eemian sequences varies considerably with setting. The key sites are meter-thick infills of negative relief in deglaciated terrains just inside the ice-margins of the Saalian glaciation (Drenthe and Warthe substages; correlated to MIS6 and 'PGM'). The southern coastline of the North Sea contains glaciogenic basins and valleys that were transgressed (Netherlands' sites Amsterdam basin. Amersfoort basin, Petten-Rutten Rhine valley-estuary). Such sites also exist in German-Danish-Polish North Sea and Baltic Sea Eemian paleocoasts (e.g. Zagwijn, 1983; Hoefle et al., 1986; Streif, 2004), and continuations to the White Sea through Finnish-Russian Federation terrains (e.g. Funder et al. 2002). Transgression events (although similarly diachronic as vegetation successions) in such circumstances can be given a timing within the biochronostratigrapical schemes.

Recognising the onset of the interglacial (zone E1: terminating zone LS, Late Saalian) is based on similarity of forest succession at the onset of the Holocene: temperate conditions reestablished, recorded terrestrially in The Netherlands and NW Germany and SW Denmark.  In Northeast Denmark, in the direct vicinity of the deglaciating Scandinavian ice front accommodating some meltwater discharge events just prior to the onset of the Eemian (Seidenkranz, 1993). 

Recognising the ending of the interglacial (Zone E6:  first zone suggesting climatic deterioration) is also based on pollen compositional  change. Not the break between E5/E6 is the end of the palynological interglacial, but the break between E6/EW (Early Weichselian), which recognition is based on loss of boreal forest at the temperate latitudes  of The Netherlands / Western Germany. This is a somewhat arbitrary historical decision, that has no younger analogue (as the current interglacial, Holocene+Anthropocene has yet to end, and is human disturbed).",0.5 to >30m,Equal to,"MIS 5e, MIS 5d",see Notes on age determination.,129.0,112.5,"Duration estimates adding up to c. 11,000 +/- 1,000 years exist that are based on cross-correlation to warved sites in lowlands of Northwest Germany (notably Muller, 1974) and in the Eifel mar-lakes in central west Germany (notably Sirocko et al., 2005: ELSA dataset). 

Absolute ages of the onset are based on correlation to marine isotope-staged records and their age models (in turn correlated to U/Th dated speleothem records and tuned). Ages of ending of the interglacial (E6/EW and E6/E5 pollen zonations) are based on correlations (using dust-records within palynologically well resolved lake-sequences) to Greenland Ice-core isotope records and  their age models (that are in turn correlated to U/Th dated speleothem records, and tuned). Sirocko et al. (2005) report 7700 varve years in ELSA record between ending of Eemian interglacial (LEAP event, E5/E6 break) and the onset of North Atlantic marine cold event C24 (is end of GIS-25, onset of GS-24 in Greenland ice core oxygen isotope and dust records) at c. 110 ka (age tentantive in NGRIP 2005 chronology, but now U/Th corroborated, Tzedakis et al. 2018 and sources therein: Antro del Corchia speleothems). This provides a numeric age tie point for the end of the Eemian pollen zonation scheme: E5/E6 break at 118 +/-2 ka. Other data and correlations, such as the mean values of >30 OSL dates (Peeters et al. 2017) also support to the idea that the E5/E6 boundary (at 120-116 ka) correlates to the MIS5e/5d marine boundary (c. 116 ka) and equivalent isotopic change in Greenland ice core (between 116-114 ka, +/- 1 ka). 

The palynological biochronostratigraphical Eemian of North West Europe can either be regarded to have started almost simultaneous, or somewhat after that recorded in southern Europe. Tzedakis et al. (2018) combining planktonic d18O records from the Iberian margin and U/Th dated speleothem records from Italy, establish interglacial conditions to have commenced 129 ka overthere. The same oxygen-isotope records also date the mid-point of Termination II to ca. 132.5 +/- 1 ka. These insights revised earlier positions taken in Sanchez-Goni et al. 1999; Shackleton et al. 2002; 2003; Turner 2002; Kukla et al. 2002 that had the onset of interglacial conditions over Iberia slightly later (e.g. mid-point Termination II ca. 131 ka +/- 2 ka; benthic d18O plateau at 128-127 ka; palynological interglacial thought to start c. 126 ka). 

Further modest diachronicity may be present between 'first temperate/interglacial-announcing vegetation returning' over the Iberian Peninsula and 'the forest succession setting on' in the North Sea basin/ NW Germany. This should especially be regarded the case in scenarios where the Scandinavian Ice Sheet (SIS) during MIS-6 and its PGM (Penultimate Glacial Maximum, SIS had submaxima at c. 160 ka and c. 140 ka), is regarded considerably larger and slower to melt away than in the LGM-Holocene (Last Glacial Maximum) counter example (Kukla 2000, Turner 2000: not explicit, but a few millennia; Lambeck et al. 2006: some 2-4 ka; Sier et al. 2015: as much as 6-7 ka; Long et al. 2015: scenario dependency). Sier et al. (2015) timed the onset of the paleomagnetic Blake event and the NW European Eemian to after marine cold events C27/C28, that have an age of c. 126 ka in the Tzedakis et al. (2018) chronology. 

All together maximum and minimum onset ages and durations of zones E1-E6 and its subzones can be formulated that encompass the main chronostratigraphic scenarios entertained in literature, updated to numeric dating constraints.
1) Zone E1 starts at 129 ka at the earliest, and at 125 ka at the latest (4000 years South-North diachroneity)
2) The E5/E6 transition times at 118 +/- 2 ka. E6 zone can be regarded to correlate with MIS5e-d, rather than to fall in MIS 5e.
3) E6/EW transition (c. 115-112 ka) occurs before onset of North Atlantic cold event C24 (c. 110 ka)

In filling the maximum and minimum age entries for subzones, the Mueller 1974 varve counts were regarded minimum durations. If E1-E5 span from 129-118 ka, the underestimation c. 60%. If E1-E5 spans from 126 to 118 ka, it is c. 19%. The underestimation would mainly be in zones E4-E5 (Muller 1974 estimated varve duration: 6800 years).

The advised slotting of the 'Zagwijn' palynological Eemian for this entry hence is 126+/-1 to 113+/-1 (with E5/E6 at 118 ka), i.e. adopting a scenario to the younger side, that allows for c. 3000 year of diachronicity in forest succession onset between South and North Europe and that allows for relatively slower Scandinavian deglaciation over Termination II compared to Termination I (Cohen et al. 2022).

Modest additional diachronicity in onset and differences in durations may apply to biostratigraphically correlated areas in Eastern Europe (Kukla et al. 2002; Funder et al. 2002). Such has been reason to make separate entries in this database for the 'Mikulinian' zonation scheme. Similarly, French and South English 'Atlantic' coastal sites may have a modestly earlier onset of the E1-E4a correlated stages, and modest differences in durations. 
",Yes,Yes,11000,500,No,,Kim Cohen,Kim Cohen,2022-04-21 13:41:12
56,1,North Sea 'Zagwijn' PAZ EW-I,"Sier et al., 2015
 Sirocko et al., 2005
 Tzedakis et al., 2018
 Zagwijn, 1961
 Zagwijn, 1983
 Zagwijn, 1996","Note: This entry describes the EW-I pollen zone, the base of which marks the Eemian/Weichselian regional stage boundary. Absolute age considerations connect to the North Sea 'Zagwijn' Eemian PAZ entries (the user is referred to the documentation in the E1-E6 main entry).",1 to >10m,Equal to,MIS 5d,MIS 5d; also Greenland IS correlations. ,115.0,102.0,"A floating duration of PAZ EW-I is not as well established as that for Eemian PAZ zones E1-E6. Continuous varved records from the PAZ E5/E6 boundary up to dust-flux intervals correlating with Greenland Stadials GS-25 and 24 (=North Atlantic cold period C24 resp. C23) allow to connect varve-durations to the age-models for the lower parts (not annually resolved) of the NGRIP and NEEM ice core age models, as well as to the Italian U/Th dates speleothem record (Tzedakis et al. 2018).  Assuming that EWI ends when GS-24 (=C23) ends, it is suggested to to represent  c. 9,000 years.",Yes,Yes,9000,750,No,,Kim Cohen,Kim Cohen,2022-04-16 11:29:31
80,1,OR95-168,"Ortlieb et al., 1995
 Freisleben et al., 2021","Thin marine deposit on the terrace platform (Cobija, Chile) consisting of very large boulders and blocks, and a well-cemented sandstone with very little fossiliferous remains.",,Equal to,MIS 5e,,,,,No,,,,,,Roland Freisleben,,2020-09-18 09:36:22
109,1,Okinoerabujima U/Th Dates,"Koike and Machida, 2001
 Tam and Yokoyama, 2021",U/Th dates for Okinoerabujima,,Equal to,MIS 5,,95.0,79.0,,No,Yes,16,,,,Evan Tam,,2020-10-11 11:37:40
110,1,On-Pm1,"Kobayashi et al., 1967
 Machida, 2002
 Tam and Yokoyama, 2021","Ontake Pumice layer 1, from the Ontake volcano",,Equal to,MIS 5,,0.0,0.0,100-0 ka,Yes,,,,,,Evan Tam,,2020-10-15 00:50:52
58,1,Oostermeer Interglacial NW NL,"Busschers et al. 2008
 Meijer & Cleveringa 2009
 Meijer et al., 2021
 Peeters et al., 2015
 Peeters et al., 2016","A Lower Rhine interglacial high-stand estuary is located in the NW of the Netherlands (Friesland province, western Wadden Sea). The estuarine system (meso-tidal based on modern analogue, supported by sedimentology) including a well preserved high stand/early regressive peat bed is mapped at depth immediately below glacigenic contacts. The estuary functioned up to the sea-level fall from MIS 7 into MIS 6. The area was then affected by glaciation (the estuary became till sheet covered) and drainage reorganisation (the Rhine never returned to an estuary with this orientation) during the Saalian Drenthe Substage (mid MIS-6, ca. 160-150 ka). Meijer & Cleveringa (2009) review the malacology and AAR aminostratigraphy of the Oostermeer interglacial compared to older and younger levels. The estuarine 'transgressive' and overlying coastal peat 'high stand' parts of the estuaries in the NW Netherlands have hosted type sites for the Oostermeer interglacial (following up on Zwartkruis-borehole interglacial described by Zagwijn & Van Staalduijnen 1975; see Meijer & Cleveringa 2002; 2009). That smaller estuary inherited its position from a tunnel valley of Elsterian age (glaciation during MIS 12 and/or 10). West of it, below what is now the western wadden sea, the larger contemporary estuary of the Rhine was positioned. In that estuary the estuarine and high stand peaty units are more extensively developed and more widely preserved. The chronostratigraphic age is based on biostratigraphic information, OSL dating, and AAR-dating, besides geological-mapping architectural evidence. (TNO Geological Survey of the Netherlands research boreholes; Busschers et al. 2008; Peeters et al. 2015, 2016; Meijer et al. 2021; Busschers et al., in prep.)",10-25,Equal to,MIS 7,MIS 7,240.0,195.0,"Age is for the peat bed topping the unit. 195 ka: end of highstand MIS7a;  240 ka: begin high stand of MIS 7e)
The underlying estuarine deposits in places may be MIS 9 too. Age assignments comply to Busschers et al. 2008 fig. 7a.",No,No,,,No,,Kim Cohen,Kim Cohen,2021-10-16 16:17:31
